 -----Test Name  T3-2015 Blonde Monent,,,,,,,,,,
 -----Measure Parameters    PTVEC,,,,,,,,,,
 -----Test Code  T3,,,,,,,,,,
 -----Scan Type   Linear,,,,,,,,,,
 -----Periods  00_00:10:00.00,,,,,,,,,,
 -----Memory Wrap  True,,,,,,,,,,
 -----Broadcast Normal Log  False,,,,,,,,,,
 -----Broadcast Alarm Log  False,,,,,,,,,,
 -----Alarm Scan  Disabled,,,,,,,,,,
 -----Scanned Upto =  30000,,,,,,,,,,
 -----Firmware Version  2.4,,,,,,,,,,
 -----TruWare v1.78,,,,,,,,,,
 ,,,,,,,,,,
 ,,,,,,,,,,
ID,Name,Address,Time of Acquisition,Elapsed(Sec),Level(cmH2O),Temperature ('C),Battery Voltage(Volt),Supply Voltage(Volt),Conductivity(uS/cm),Scan No
0,1404704,0,'11/18/2015 03:10:00.00 PM,15275400,13.69696875,9.476,3.516,0,147.9,23424
0,1404704,0,'11/18/2015 03:25:00.00 PM,15276300,13.69281947,9.481,3.516,0,147.6,23425
0,1404704,0,'11/18/2015 03:40:00.00 PM,15277200,13.70597056,9.486,3.516,0,147.6,23426
0,1404704,0,'11/18/2015 03:55:00.00 PM,15278100,13.69957083,9.488,3.516,0,147.8,23427
0,1404704,0,'11/18/2015 04:10:00.00 PM,15279000,13.7094869,9.474,3.516,0,147.7,23428
0,1404704,0,'11/18/2015 04:25:00.00 PM,15279900,13.70477501,9.491,3.516,0,147.8,23429
0,1404704,0,'11/18/2015 04:40:00.00 PM,15280800,13.70189161,9.488,3.516,0,147.8,23430
0,1404704,0,'11/18/2015 04:55:00.00 PM,15281700,13.68592745,9.486,3.516,0,148.1,23431
0,1404704,0,'11/18/2015 05:10:00.00 PM,15282600,13.68726366,9.484,3.516,0,147.9,23432
0,1404704,0,'11/18/2015 05:25:00.00 PM,15283500,13.69668744,9.488,3.516,0,147.8,23433
0,1404704,0,'11/18/2015 05:40:00.00 PM,15284400,13.69584352,9.481,3.516,0,148.1,23434
0,1404704,0,'11/18/2015 05:55:00.00 PM,15285300,13.67228407,9.479,3.516,0,148.1,23435
0,1404704,0,'11/18/2015 06:10:00.00 PM,15286200,13.66300095,9.48,3.516,0,148.1,23436
0,1404704,0,'11/18/2015 06:25:00.00 PM,15287100,13.67214342,9.484,3.516,0,147.9,23437
0,1404704,0,'11/18/2015 06:40:00.00 PM,15288000,13.68649007,9.484,3.516,0,148,23438
0,1404704,0,'11/18/2015 06:55:00.00 PM,15288900,13.67326865,9.486,3.516,0,148.1,23439
0,1404704,0,'11/18/2015 07:10:00.00 PM,15289800,13.68627909,9.48,3.516,0,148.1,23440
0,1404704,0,'11/18/2015 07:25:00.00 PM,15290700,13.68445059,9.486,3.516,0,148,23441
0,1404704,0,'11/18/2015 07:40:00.00 PM,15291600,13.72038754,9.481,3.516,0,148.3,23442
0,1404704,0,'11/18/2015 07:55:00.00 PM,15292500,13.77313256,9.487,3.516,0,148.2,23443
0,1404704,0,'11/18/2015 08:10:00.00 PM,15293400,13.96034224,9.483,3.516,0,148.2,23444
0,1404704,0,'11/18/2015 08:25:00.00 PM,15294300,15.14281537,9.486,3.516,0,148.4,23445
0,1404704,0,'11/18/2015 08:40:00.00 PM,15295200,15.89664727,9.486,3.516,0,148.5,23446
0,1404704,0,'11/18/2015 08:55:00.00 PM,15296100,16.1690929,9.481,3.516,0,148.7,23447
0,1404704,0,'11/18/2015 09:10:00.00 PM,15297000,16.47339653,9.48,3.516,0,148.8,23448
0,1404704,0,'11/18/2015 09:25:00.00 PM,15297900,16.81919292,9.474,3.516,0,149,23449
0,1404704,0,'11/18/2015 09:40:00.00 PM,15298800,17.29031148,9.482,3.516,0,148.9,23450
0,1404704,0,'11/18/2015 09:55:00.00 PM,15299700,18.03915018,9.482,3.516,0,148.7,23451
0,1404704,0,'11/18/2015 10:10:00.00 PM,15300600,19.64548234,9.483,3.516,0,148.1,23452
0,1404704,0,'11/18/2015 10:25:00.00 PM,15301500,20.9892146,9.48,3.516,0,147.3,23453
0,1404704,0,'11/18/2015 10:40:00.00 PM,15302400,22.26079166,9.502,3.516,0,147.5,23454
0,1404704,0,'11/18/2015 10:55:00.00 PM,15303300,23.77295636,9.507,3.516,0,149.8,23455
0,1404704,0,'11/18/2015 11:10:00.00 PM,15304200,24.69613495,9.533,3.516,0,158,23456
0,1404704,0,'11/18/2015 11:25:00.00 PM,15305100,25.48477857,9.542,3.516,0,165.9,23457
0,1404704,0,'11/18/2015 11:40:00.00 PM,15306000,26.05547974,9.543,3.516,0,175.9,23458
0,1404704,0,'11/18/2015 11:55:00.00 PM,15306900,27.08006943,9.545,3.516,0,187.8,23459
0,1404704,0,'11/19/2015 12:10:00.00 AM,15307800,28.32133568,9.554,3.516,0,199.3,23460
0,1404704,0,'11/19/2015 12:25:00.00 AM,15308700,29.45261098,9.555,3.516,0,203.5,23461
0,1404704,0,'11/19/2015 12:40:00.00 AM,15309600,30.01494327,9.559,3.516,0,204.3,23462
0,1404704,0,'11/19/2015 12:55:00.00 AM,15310500,29.9973616,9.582,3.516,0,202.3,23463
0,1404704,0,'11/19/2015 01:10:00.00 AM,15311400,29.71872721,9.613,3.516,0,200.1,23464
0,1404704,0,'11/19/2015 01:25:00.00 AM,15312300,29.53967543,9.617,3.516,0,197.7,23465
0,1404704,0,'11/19/2015 01:40:00.00 AM,15313200,29.35795124,9.63,3.516,0,194,23466
0,1404704,0,'11/19/2015 01:55:00.00 AM,15314100,28.99654233,9.634,3.516,0,190.1,23467
0,1404704,0,'11/19/2015 02:10:00.00 AM,15315000,28.87452551,9.651,3.516,0,186.8,23468
0,1404704,0,'11/19/2015 02:25:00.00 AM,15315900,28.90167161,9.65,3.516,0,183.6,23469
0,1404704,0,'11/19/2015 02:40:00.00 AM,15316800,28.77163754,9.666,3.517,0,179.7,23470
0,1404704,0,'11/19/2015 02:55:00.00 AM,15317700,28.76136985,9.674,3.517,0,176.1,23471
0,1404704,0,'11/19/2015 03:10:00.00 AM,15318600,28.8837383,9.676,3.517,0,172.6,23472
0,1404704,0,'11/19/2015 03:25:00.00 AM,15319500,29.3583732,9.687,3.517,0,169.6,23473
0,1404704,0,'11/19/2015 03:40:00.00 AM,15320400,29.56696219,9.695,3.517,0,166.2,23474
0,1404704,0,'11/19/2015 03:55:00.00 AM,15321300,29.65487057,9.696,3.517,0,163.5,23475
0,1404704,0,'11/19/2015 04:10:00.00 AM,15322200,29.49762007,9.71,3.517,0,161.4,23476
0,1404704,0,'11/19/2015 04:25:00.00 AM,15323100,29.55317816,9.707,3.517,0,164,23477
0,1404704,0,'11/19/2015 04:40:00.00 AM,15324000,29.45542405,9.707,3.517,0,162,23478
0,1404704,0,'11/19/2015 04:55:00.00 AM,15324900,29.44100707,9.712,3.517,0,158.6,23479
0,1404704,0,'11/19/2015 05:10:00.00 AM,15325800,29.40176478,9.724,3.517,0,155.6,23480
0,1404704,0,'11/19/2015 05:25:00.00 AM,15326700,29.43284918,9.736,3.517,0,153.4,23481
0,1404704,0,'11/19/2015 05:40:00.00 AM,15327600,29.19873159,9.741,3.517,0,151.9,23482
0,1404704,0,'11/19/2015 05:55:00.00 AM,15328500,29.1452833,9.76,3.517,0,150.6,23483
0,1404704,0,'11/19/2015 06:10:00.00 AM,15329400,29.06933046,9.762,3.517,0,149.8,23484
0,1404704,0,'11/19/2015 06:25:00.00 AM,15330300,29.01623381,9.768,3.517,0,148.5,23485
0,1404704,0,'11/19/2015 06:40:00.00 AM,15331200,28.94091391,9.779,3.517,0,148,23486
0,1404704,0,'11/19/2015 06:55:00.00 AM,15332100,28.75419652,9.785,3.517,0,147.3,23487
0,1404704,0,'11/19/2015 07:10:00.00 AM,15333000,28.69322327,9.788,3.517,0,146.7,23488
0,1404704,0,'11/19/2015 07:25:00.00 AM,15333900,28.56572097,9.783,3.517,0,146.1,23489
0,1404704,0,'11/19/2015 07:40:00.00 AM,15334800,28.49321414,9.797,3.517,0,145.5,23490
0,1404704,0,'11/19/2015 07:55:00.00 AM,15335700,28.38083207,9.801,3.517,0,145,23491
0,1404704,0,'11/19/2015 08:10:00.00 AM,15336600,28.25860427,9.802,3.517,0,144.5,23492
0,1404704,0,'11/19/2015 08:25:00.00 AM,15337500,28.24285109,9.798,3.517,0,144.1,23493
0,1404704,0,'11/19/2015 08:40:00.00 AM,15338400,28.17779889,9.804,3.518,0,143.6,23494
0,1404704,0,'11/19/2015 08:55:00.00 AM,15339300,28.03552797,9.808,3.517,0,143.1,23495
0,1404704,0,'11/19/2015 09:10:00.00 AM,15340200,27.91372213,9.811,3.517,0,142.6,23496
0,1404704,0,'11/19/2015 09:25:00.00 AM,15341100,27.9094322,9.804,3.518,0,142.2,23497
0,1404704,0,'11/19/2015 09:40:00.00 AM,15342000,27.78783734,9.814,3.517,0,141.6,23498
0,1404704,0,'11/19/2015 09:55:00.00 AM,15342900,27.72468396,9.813,3.517,0,141,23499
0,1404704,0,'11/19/2015 10:10:00.00 AM,15343800,27.6260156,9.804,3.517,0,140.5,23500
0,1404704,0,'11/19/2015 10:25:00.00 AM,15344700,27.53663037,9.816,3.517,0,139.9,23501
0,1404704,0,'11/19/2015 10:40:00.00 AM,15345600,27.54605414,9.812,3.517,0,139.5,23502
0,1404704,0,'11/19/2015 10:55:00.00 AM,15346500,27.43528959,9.814,3.517,0,139.2,23503
0,1404704,0,'11/19/2015 11:10:00.00 AM,15347400,27.34674828,9.816,3.517,0,138.7,23504
0,1404704,0,'11/19/2015 11:25:00.00 AM,15348300,27.29400325,9.812,3.517,0,138.2,23505
0,1404704,0,'11/19/2015 11:40:00.00 AM,15349200,27.25926186,9.818,3.518,0,137.7,23506
0,1404704,0,'11/19/2015 11:55:00.00 AM,15350100,27.19020104,9.823,3.517,0,137.5,23507
0,1404704,0,'11/19/2015 12:10:00.00 PM,15351000,27.13154857,9.819,3.517,0,137,23508
0,1404704,0,'11/19/2015 12:25:00.00 PM,15351900,27.09054811,9.816,3.517,0,136.8,23509
0,1404704,0,'11/19/2015 12:40:00.00 PM,15352800,27.10011254,9.816,3.518,0,135.7,23510
0,1404704,0,'11/19/2015 12:55:00.00 PM,15353700,27.00875815,9.82,3.517,0,136.3,23511
0,1404704,0,'11/19/2015 01:10:00.00 PM,15354600,26.97577493,9.813,3.517,0,136.2,23512
0,1404704,0,'11/19/2015 01:25:00.00 PM,15355500,26.87141011,9.825,3.517,0,136.1,23513
0,1404704,0,'11/19/2015 01:40:00.00 PM,15356400,26.82935474,9.808,3.517,0,135.9,23514
0,1404704,0,'11/19/2015 01:55:00.00 PM,15357300,26.76718594,9.811,3.517,0,135.7,23515
0,1404704,0,'11/19/2015 02:10:00.00 PM,15358200,26.74475172,9.825,3.517,0,135.5,23516
0,1404704,0,'11/19/2015 02:25:00.00 PM,15359100,26.70522812,9.821,3.517,0,135.4,23517
0,1404704,0,'11/19/2015 02:40:00.00 PM,15360000,26.67885561,9.818,3.517,0,135.2,23518
0,1404704,0,'11/19/2015 02:55:00.00 PM,15360900,26.67034607,9.824,3.517,0,135,23519
0,1404704,0,'11/19/2015 03:10:00.00 PM,15361800,26.57470176,9.818,3.517,0,134.7,23520
